""
"Indicator name: Greenhouse gas (GHG) emissions from agriculture  Data Source: FAO (http://www.fao.org/), FAOSTAT Agriculture database(http://faostat3.fao.org/home/E)"
"Description: Total greenhouse gas emissions from agriculture contain all the emissions produced in the different agricultural emissions sub-domains, providing a picture of the contribution to the total amount of GHG emissions from agriculture. GHG emissions from agriculture consist of non-CO2 gases, namely methane (CH4) and nitrous oxide (N2O), produced by crop and livestock production and management activities."
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1981","431951.97"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1982","439135.58"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1983","456431.83"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1984","467335.11"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1985","459687.77"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1986","470441.84"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1987","503110.40"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1988","518309.57"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1989","535987.82"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1990","551040.07"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1991","560848.40"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1992","565738.89"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1993","553020.85"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1994","572295.36"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1995","629824.91"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1996","670359.26"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1997","606953.50"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1998","626617.95"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","1999","645702.38"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2000","633497.03"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2001","624015.19"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2002","632756.97"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2003","622800.54"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2004","640430.54"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2005","647990.90"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2006","650546.41"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2007","643438.61"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2008","654862.09"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2009","662555.15"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2010","672594.62"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2011","671593.84"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2012","674064.57"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2013","676806.18"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2014","678793.86"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2015","688521.57"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2016","691256.14"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2017","678469.11"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2030","811210.50"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","China","2050","875477.40"
"Indicator name: Greenhouse gas (GHG) emissions from agriculture  Data Source: FAO (http://www.fao.org/), FAOSTAT Agriculture database(http://faostat3.fao.org/home/E)"
"Description: Total greenhouse gas emissions from agriculture contain all the emissions produced in the different agricultural emissions sub-domains, providing a picture of the contribution to the total amount of GHG emissions from agriculture. GHG emissions from agriculture consist of non-CO2 gases, namely methane (CH4) and nitrous oxide (N2O), produced by crop and livestock production and management activities."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1961","284359.57"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1961","284359.57"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1962","292439.39"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1962","292439.39"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1963","300768.41"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1963","300768.41"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1964","305329.98"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1964","305329.98"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1965","309376.78"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1965","309376.78"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1966","310169.58"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1966","310169.58"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1967","316755.27"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1967","316755.27"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1968","318058.09"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1968","318058.09"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1969","320468.22"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1969","320468.22"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1970","324673.06"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1970","324673.06"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1971","333614.36"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1971","333614.36"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1972","337987.91"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1972","337987.91"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1973","349791.40"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1973","349791.40"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1974","356189.81"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1974","356189.81"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1975","374998.83"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1975","374998.83"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1976","366787.22"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1976","366787.22"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1977","356020.70"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1977","356020.70"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1978","352551.75"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1978","352551.75"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1979","350800.18"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1979","350800.18"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1980","356595.09"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1980","356595.09"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1981","361058.77"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1981","361058.77"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1982","349167.95"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1982","349167.95"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1983","347097.81"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1983","347097.81"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1984","355011.91"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1984","355011.91"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1985","343022.39"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1985","343022.39"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1986","331176.77"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1986","331176.77"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1987","324401.25"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1987","324401.25"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1988","319072.31"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1988","319072.31"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1989","321552.38"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1989","321552.38"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1990","333243.51"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1990","333243.51"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1991","334045.68"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1991","334045.68"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1992","340710.08"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1992","340710.08"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1993","344547.37"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1993","344547.37"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1994","349750.18"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1994","349750.18"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1995","350698.09"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1995","350698.09"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1996","354479.88"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1996","354479.88"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1997","353079.71"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1997","353079.71"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1998","351936.98"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1998","351936.98"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1999","348888.10"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1999","348888.10"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2000","342339.61"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2000","342339.61"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2001","342823.53"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2001","342823.53"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2002","341480.73"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2002","341480.73"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2003","346762.24"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2003","346762.24"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2004","348502.79"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2004","348502.79"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2005","347209.44"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2005","347209.44"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2006","350538.44"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2006","350538.44"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2007","353974.97"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2007","353974.97"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2008","352341.89"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2008","352341.89"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2009","346761.74"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2009","346761.74"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2010","348602.75"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2010","348602.75"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2011","351176.44"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2011","351176.44"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2012","347794.94"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2012","347794.94"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2013","347542.12"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2013","347542.12"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2014","347341.49"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2014","347341.49"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2015","346879.19"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2015","346879.19"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2016","356562.58"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2016","356562.58"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2017","355329.18"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2017","355329.18"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2030","361695.80"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2050","366640.75"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","2050","366640.75"
"Indicator name: Greenhouse gas (GHG) emissions, total  Data Source: null(http://edgar.jrc.ec.europa.eu/), European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGAR v5.0 (1970 - 2015) of November 2019.(http://edgar.jrc.ec.europa.eu/)"
"Description: The GHG total, expressed in million metric tons of CO2 equivalent, are composed of CO2 totals excluding short-cycle biomass burning (such as agricultural waste burning and Savannah burning) but including other biomass burning (such as forest fires, post-burn decay, peat fires and decay of drained peatlands), all anthropogenic CH4 sources, N2O sources and F-gases (HFCs, PFCs and SF6)of drained peatlands)."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1970","1325.52"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1971","1323.49"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1972","1346.90"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1973","1400.11"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1974","1371.98"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1975","1308.54"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1976","1369.46"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1977","1347.49"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1978","1388.46"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1979","1441.89"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1980","1387.73"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1981","1348.79"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1982","1297.82"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1983","1309.94"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1984","1328.08"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1985","1332.33"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1986","1320.60"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1987","1307.29"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1988","1297.59"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1989","1284.74"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1990","1241.60"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1991","1215.15"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1992","1155.32"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1993","1140.64"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1994","1131.85"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1995","1124.53"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1996","1151.21"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1997","1114.09"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1998","1086.09"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","1999","1045.72"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2000","1043.90"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2001","1049.83"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2002","1032.77"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2003","1031.28"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2004","1028.87"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2005","993.71"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2006","1010.46"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2007","984.08"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2008","987.21"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2009","909.58"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2010","974.81"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2011","948.53"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2012","944.85"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2013","961.68"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2014","922.97"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2015","928.69"
"Indicator name: Greenhouse gas (GHG) emissions, total  Data Source: null(http://edgar.jrc.ec.europa.eu/), European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGAR v5.0 (1970 - 2015) of November 2019.(http://edgar.jrc.ec.europa.eu/)"
"Description: The GHG total, expressed in million metric tons of CO2 equivalent, are composed of CO2 totals excluding short-cycle biomass burning (such as agricultural waste burning and Savannah burning) but including other biomass burning (such as forest fires, post-burn decay, peat fires and decay of drained peatlands), all anthropogenic CH4 sources, N2O sources and F-gases (HFCs, PFCs and SF6)of drained peatlands)."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1970","5708.31"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1971","5589.34"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1972","5847.97"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1973","6053.88"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1974","5872.72"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1975","5648.32"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1976","5952.75"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1977","6117.64"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1978","6125.68"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1979","6199.28"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1980","5951.89"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1981","5869.28"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1982","5586.50"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1983","5546.86"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1984","5791.54"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1985","5792.38"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1986","5740.26"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1987","5902.11"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1988","6133.71"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","United States of America","1989","6205.87"
